Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
25/6/2009,0,2,23,1
24/6/2009,17,2.3,22,1
23/6/2009,15,2.3,23,1
22/6/2009,17,3.1,17,1
21/6/2009,15,8.8,17,1
20/6/2009,0,2,17,1
19/6/2009,0,2,20,1
18/6/2009,0,2,22,1
17/6/2009,15,5,23,1
16/6/2009,0,2,23,1
15/6/2009,0,2,17,1
14/6/2009,0,2,20,1
13/6/2009,0,2,25,1
12/6/2009,0,2,27,1
11/6/2009,0,2,22,1
10/6/2009,0,2,18,1
9/6/2009,0,2,20,1
8/6/2009,0,2,19,1
7/6/2009,0,2,22,1
6/6/2009,0,2,16,1
5/6/2009,17,4.2,15,1
4/6/2009,19,1.5,22,1
3/6/2009,24,2.1,21,1
2/6/2009,26,2.4,27,1
1/6/2009,24,1.9,25,1
31/5/2009,10,2.9,17,1
30/5/2009,0,2,19,1
29/5/2009,0,2,21,1
28/5/2009,0,2,17,1
27/5/2009,0,2,22,1
26/5/2009,0,2,20,1
25/5/2009,0,2,21,1
24/5/2009,0,2,22,1
23/5/2009,8,2.3,23,1
22/5/2009,8,2,20,1
21/5/2009,0,2,19,1
20/5/2009,0,2,24,1
19/5/2009,7,5.3,20,1
18/5/2009,8,1.5,23,1
17/5/2009,9,2.9,15,1
16/5/2009,8,2.1,20,1
15/5/2009,9,1.9,18,1
14/5/2009,10,2.3,20,1
13/5/2009,7,2.6,16,1
12/5/2009,0,2,19,1
11/5/2009,0,2,20,1
10/5/2009,0,2,21,1
9/5/2009,0,2,18,1
8/5/2009,0,2,20,1
7/5/2009,0,2,20,1
6/5/2009,0,2,13,1
5/5/2009,0,2,12,1
4/5/2009,7,4,21,1
3/5/2009,0,2,23,1
2/5/2009,0,2,23,1
1/5/2009,0,2,23,1
30/4/2009,13,2.4,24,1
29/4/2009,13,4.1,20,1
28/4/2009,0,2,16,1
27/4/2009,0,2,21,1
26/4/2009,0,2,17,1
25/4/2009,0,2,17,1
24/4/2009,0,2,18,1
23/4/2009,0,2,21,1
22/4/2009,0,2,20,1
21/4/2009,11,3.9,17,1
20/4/2009,0,2,18,1
19/4/2009,0,2,20,1
18/4/2009,0,2,18,1
17/4/2009,0,2,13,1
16/4/2009,0,2,17,1
15/4/2009,0,2,23,1
14/4/2009,0,2,22,1
13/4/2009,0,2,20,1
12/4/2009,0,2,17,1
11/4/2009,0,2,20,1
10/4/2009,0,2,22,1
9/4/2009,0,2,22,1
8/4/2009,0,2,19,1
7/4/2009,0,2,20,1
6/4/2009,0,2,23,1
5/4/2009,0,2,22,1
4/4/2009,0,2,18,1
3/4/2009,0,2,20,1
2/4/2009,0,2,23,1
1/4/2009,0,2,18,1
31/3/2009,0,2,19,1
30/3/2009,0,2,17,1
29/3/2009,0,2,18,1
28/3/2009,0,2,14,1
27/3/2009,0,2,17,1
26/3/2009,6,2.7,12,1
25/3/2009,0,2,16,1
24/3/2009,0,2,19,1
23/3/2009,0,2,18,1
22/3/2009,0,2,15,1
21/3/2009,0,2,22,1
20/3/2009,0,2,21,1
19/3/2009,0,2,22,1
18/3/2009,0,2,22,1
17/3/2009,0,2,21,1
16/3/2009,0,2,18,1
15/3/2009,0,2,19,1
14/3/2009,0,2,20,1
13/3/2009,0,2,15,1
12/3/2009,0,2,15,1
11/3/2009,0,2,19,1
10/3/2009,0,2,14,1
9/3/2009,0,2,17,1
8/3/2009,0,2,19,1
7/3/2009,7,2.1,17,1
6/3/2009,7,1.3,12,1
5/3/2009,0,2,14,1
4/3/2009,0,2,10,1
3/3/2009,0,2,9,1
2/3/2009,0,2,15,1
1/3/2009,0,2,17,1
28/2/2009,0,2,16,1
27/2/2009,0,2,9,1
26/2/2009,0,2,14,1
25/2/2009,7,3.8,10,1
24/2/2009,7,2.3,12,1
23/2/2009,0,2,10,1
22/2/2009,0,2,12,1
21/2/2009,0,2,18,1
20/2/2009,0,2,10,1
19/2/2009,0,2,16,1
18/2/2009,0,2,20,1
17/2/2009,0,2,12,1
16/2/2009,0,2,13,1
15/2/2009,0,2,13,1
14/2/2009,0,2,19,1
13/2/2009,6,5,11,1
12/2/2009,6,1.1,19,1
11/2/2009,7,2.8,15,1
10/2/2009,0,2,13,1
9/2/2009,0,2,9,1
8/2/2009,0,2,16,1
7/2/2009,0,2,13,1
6/2/2009,0,2,17,1
5/2/2009,0,2,16,1
4/2/2009,0,2,12,1
3/2/2009,0,2,14,1
2/2/2009,0,2,10,1
1/2/2009,0,2,16,1
31/1/2009,0,2,11,1
30/1/2009,0,2,14,1
29/1/2009,0,2,8,1
28/1/2009,0,2,11,1
27/1/2009,0,2,14,1
26/1/2009,0,2,17,1
25/1/2009,0,2,8,1
24/1/2009,0,2,10,1
23/1/2009,0,2,12,1
22/1/2009,0,2,13,1
21/1/2009,0,2,9,1
20/1/2009,0,2,12,1
19/1/2009,7,2,9,1
18/1/2009,0,2,8,1
17/1/2009,0,2,12,1
16/1/2009,0,2,5,1
15/1/2009,0,2,10,1
14/1/2009,0,2,13,1
13/1/2009,0,2,8,1
12/1/2009,8,0.6,2,1
11/1/2009,10,0.8,4,1
10/1/2009,9,0.9,7,1
9/1/2009,7,0.9,6,1
8/1/2009,0,2,9,1
7/1/2009,0,2,10,1
6/1/2009,0,2,10,1
5/1/2009,0,2,14,1
4/1/2009,0,2,12,1
3/1/2009,0,2,14,1
2/1/2009,0,2,13,1
1/1/2009,0,2,12,1
31/12/2008,0,2,15,1
30/12/2008,0,2,24,1
29/12/2008,0,2,21,1
28/12/2008,0,2,22,1
27/12/2008,0,2,20,1
26/12/2008,0,2,20,1
25/12/2008,0,2,13,1
24/12/2008,0,2,12,1
23/12/2008,0,2,14,1
22/12/2008,0,2,13,1
21/12/2008,0,2,14,1
20/12/2008,0,2,13,1
19/12/2008,0,2,20,1
18/12/2008,0,2,14,1
17/12/2008,0,2,10,1
16/12/2008,0,2,8,1
15/12/2008,0,2,12,1
14/12/2008,0,2,12,1
13/12/2008,0,2,17,1
12/12/2008,11,2.2,11,1
11/12/2008,10,1.5,15,1
10/12/2008,11,2.3,16,1
9/12/2008,0,2,15,1
8/12/2008,0,2,18,1
7/12/2008,0,2,19,1
6/12/2008,0,2,20,1
5/12/2008,0,2,14,1
4/12/2008,0,2,13,1
3/12/2008,0,2,18,1
2/12/2008,0,2,15,1
1/12/2008,0,2,12,1
30/11/2008,0,2,10,1
29/11/2008,0,2,17,1
28/11/2008,0,2,11,1
27/11/2008,0,2,12,1
26/11/2008,0,2,18,1
25/11/2008,0,2,16,1
24/11/2008,0,2,14,1
23/11/2008,0,2,14,1
22/11/2008,0,2,21,1
21/11/2008,0,2,18,1
20/11/2008,0,2,15,1
19/11/2008,0,2,15,1
18/11/2008,0,2,14,1
17/11/2008,11,6.2,20,1
16/11/2008,13,0.8,7,1
15/11/2008,13,0.8,12,1
14/11/2008,13,0.7,12,1
13/11/2008,15,1.5,20,1
12/11/2008,23,2.5,18,1
11/11/2008,20,2.3,18,1
10/11/2008,0,2,10,1
9/11/2008,0,2,13,1
8/11/2008,0,2,14,1
7/11/2008,0,2,17,1
6/11/2008,11,2.1,17,1
5/11/2008,13,1.7,12,1
4/11/2008,16,1.7,20,1
3/11/2008,18,0.8,12,1
2/11/2008,18,0.8,15,1
1/11/2008,15,4.7,13,1
31/10/2008,13,2.7,10,1
30/10/2008,0,2,10,1
29/10/2008,0,2,19,1
28/10/2008,0,2,19,1
27/10/2008,0,2,18,1
26/10/2008,0,2,12,1
25/10/2008,0,2,17,1
24/10/2008,0,2,12,1
23/10/2008,0,2,20,1
22/10/2008,0,2,17,1
21/10/2008,0,2,20,1
20/10/2008,0,2,25,1
19/10/2008,0,2,22,1
18/10/2008,0,2,22,1
17/10/2008,12,5.4,23,1
16/10/2008,17,4.4,19,1
15/10/2008,12,0.6,16,1
14/10/2008,13,0.7,21,1
13/10/2008,13,0.9,25,1
12/10/2008,16,1.2,20,1
11/10/2008,13,0.6,20,1
10/10/2008,10,7.1,22,1
9/10/2008,0,2,23,1
8/10/2008,0,2,16,1
7/10/2008,0,2,16,1
6/10/2008,0,2,15,1
5/10/2008,0,2,14,1
4/10/2008,10,6.5,21,1
3/10/2008,0,2,18,1
2/10/2008,0,2,21,1
1/10/2008,0,2,18,1
30/9/2008,0,2,11,1
29/9/2008,9,6.7,18,1
28/9/2008,0,2,17,1
27/9/2008,0,2,20,1
26/9/2008,0,2,22,1
25/9/2008,0,2,19,1
24/9/2008,0,2,17,1
23/9/2008,10,1.9,16,1
22/9/2008,9,1,20,1
21/9/2008,0,2,15,1
20/9/2008,0,2,20,1
19/9/2008,0,2,21,1
18/9/2008,0,2,18,1
17/9/2008,0,2,19,1
16/9/2008,0,2,20,1
15/9/2008,0,2,15,1
14/9/2008,0,2,22,1
13/9/2008,0,2,17,1
12/9/2008,0,2,25,1
11/9/2008,7,4.7,24,1
10/9/2008,0,2,23,1
9/9/2008,0,2,25,1
8/9/2008,0,2,25,1
7/9/2008,0,2,21,1
6/9/2008,0,2,20,1
5/9/2008,0,2,22,1
4/9/2008,0,2,23,1
3/9/2008,0,2,22,1
2/9/2008,0,2,23,1
1/9/2008,0,2,25,1
31/8/2008,0,2,13,1
30/8/2008,0,2,11,1
29/8/2008,0,2,11,1
28/8/2008,0,2,10,1
27/8/2008,0,2,14,1
26/8/2008,0,2,11,1
25/8/2008,0,2,18,1
24/8/2008,0,2,19,1
23/8/2008,0,2,16,1
22/8/2008,5,3.2,16,1
21/8/2008,5,1.9,19,1
20/8/2008,0,2,18,1
19/8/2008,0,2,19,1
18/8/2008,0,2,17,1
17/8/2008,0,2,18,1
16/8/2008,0,2,15,1
15/8/2008,0,2,19,1
14/8/2008,0,2,19,1
13/8/2008,0,2,18,1
12/8/2008,0,2,18,1
11/8/2008,0,2,17,1
10/8/2008,0,2,17,1
9/8/2008,0,2,21,1
8/8/2008,0,2,18,1
7/8/2008,0,2,18,1
6/8/2008,0,2,20,1
5/8/2008,0,2,21,1
4/8/2008,0,2,19,1
3/8/2008,0,2,17,1
2/8/2008,0,2,17,1
1/8/2008,0,2,21,1
31/7/2008,0,2,18,1
30/7/2008,0,2,21,1
29/7/2008,0,2,24,1
28/7/2008,0,2,22,1
27/7/2008,0,2,24,1
26/7/2008,0,2,23,1
25/7/2008,0,2,25,1
24/7/2008,0,2,25,1
23/7/2008,0,2,20,1
22/7/2008,0,2,22,1
21/7/2008,0,2,18,1
20/7/2008,6,3.2,20,1
19/7/2008,7,1,20,1
18/7/2008,6,1.5,15,1
17/7/2008,0,2,17,1
16/7/2008,0,2,22,1
15/7/2008,0,2,19,1
14/7/2008,0,2,20,1
13/7/2008,0,2,22,1
12/7/2008,0,2,25,1
11/7/2008,0,2,23,1
10/7/2008,0,2,17,1
9/7/2008,0,2,18,1
8/7/2008,0,2,24,1
7/7/2008,0,2,23,1
6/7/2008,0,2,25,1
5/7/2008,0,2,23,1
4/7/2008,0,2,21,1
3/7/2008,0,2,19,1
2/7/2008,0,2,25,1
1/7/2008,0,2,24,1
30/6/2008,0,2,21,1
29/6/2008,0,2,20,1
28/6/2008,0,2,22,1
27/6/2008,0,2,23,1
26/6/2008,0,2,20,1
25/6/2008,0,2,23,1
24/6/2008,0,2,26,1
23/6/2008,0,2,24,1
22/6/2008,12,1.8,21,1
21/6/2008,12,1,22,1
20/6/2008,12,0.9,22,1
19/6/2008,11,0.6,23,1
18/6/2008,12,0.8,24,1
17/6/2008,11,0.7,23,1
16/6/2008,11,1.1,23,1
15/6/2008,11,7.4,19,1
14/6/2008,0,2,21,1
13/6/2008,12,4,20,1
12/6/2008,11,0.7,18,1
11/6/2008,12,0.7,22,1
10/6/2008,14,1.3,25,1
9/6/2008,0,2,25,1
8/6/2008,0,2,23,1
7/6/2008,0,2,17,1
6/6/2008,0,2,19,1
5/6/2008,14,5.7,13,1
4/6/2008,0,2,18,1
3/6/2008,0,2,20,1
2/6/2008,0,2,17,1
1/6/2008,0,2,23,1
31/5/2008,0,2,19,1
30/5/2008,0,2,18,1
29/5/2008,0,2,14,1
28/5/2008,0,2,22,1
27/5/2008,0,2,22,1
26/5/2008,0,2,19,1
25/5/2008,0,2,19,1
24/5/2008,0,2,16,1
23/5/2008,0,2,22,1
22/5/2008,0,2,18,1
21/5/2008,0,2,21,1
20/5/2008,10,2.1,21,1
19/5/2008,16,2.8,20,1
18/5/2008,22,3.2,20,1
17/5/2008,17,2.6,17,1
16/5/2008,20,4,22,1
15/5/2008,13,9.4,20,1
14/5/2008,0,2,21,1
13/5/2008,12,4.6,20,1
12/5/2008,0,2,21,1
11/5/2008,0,2,22,1
10/5/2008,0,2,19,1
9/5/2008,0,2,22,1
8/5/2008,0,2,23,1
7/5/2008,0,2,25,1
6/5/2008,0,2,24,1
5/5/2008,12,3.4,21,1
4/5/2008,10,1.7,24,1
3/5/2008,0,2,23,1
2/5/2008,0,2,19,1
1/5/2008,10,7.9,23,1
30/4/2008,0,2,22,1
29/4/2008,0,2,20,1
28/4/2008,0,2,20,1
27/4/2008,0,2,22,1
26/4/2008,0,2,22,1
25/4/2008,0,2,19,1
24/4/2008,9,1.9,21,1
23/4/2008,10,0.8,19,1
22/4/2008,10,1.9,23,1
21/4/2008,0,2,22,1
20/4/2008,0,2,20,1
19/4/2008,10,4,12,1
18/4/2008,0,2,17,1
17/4/2008,0,2,18,1
16/4/2008,0,2,17,1
15/4/2008,0,2,20,1
14/4/2008,9,2.9,13,1
13/4/2008,9,5.6,21,1
12/4/2008,0,2,20,1
11/4/2008,0,2,17,1
10/4/2008,0,2,20,1
9/4/2008,0,2,20,1
8/4/2008,0,2,20,1
7/4/2008,0,2,15,1
6/4/2008,0,2,21,1
5/4/2008,0,2,16,1
4/4/2008,9,2.8,17,1
3/4/2008,11,0.7,14,1
2/4/2008,11,1.3,16,1
1/4/2008,20,1.4,18,1
31/3/2008,42,3.5,19,1
30/3/2008,52,2.1,16,1
29/3/2008,50,2.2,20,1
28/3/2008,57,2.8,18,1
27/3/2008,59,3.3,14,1
26/3/2008,60,4.3,17,1
25/3/2008,54,3.1,22,1
24/3/2008,32,1.9,14,1
23/3/2008,0,2,15,1
22/3/2008,0,2,20,1
21/3/2008,0,2,15,1
20/3/2008,0,2,15,1
19/3/2008,0,2,19,1
18/3/2008,0,2,23,1
17/3/2008,12,4,17,1
16/3/2008,12,3.9,14,1
15/3/2008,12,5.3,21,1
14/3/2008,0,2,17,1
13/3/2008,0,2,19,1
12/3/2008,0,2,18,1
11/3/2008,0,2,18,1
10/3/2008,15,3.8,14,1
9/3/2008,0,2,14,1
8/3/2008,0,2,20,1
7/3/2008,0,2,18,1
6/3/2008,13,2.5,13,1
5/3/2008,0,2,20,1
4/3/2008,0,2,21,1
3/3/2008,12,1.6,22,1
2/3/2008,0,2,16,1
1/3/2008,0,2,19,1
29/2/2008,0,2,13,1
28/2/2008,0,2,16,1
27/2/2008,11,2.7,19,1
26/2/2008,11,1.7,15,1
25/2/2008,11,4,23,1
24/2/2008,0,2,19,1
23/2/2008,0,2,19,1
22/2/2008,0,2,10,1
21/2/2008,0,2,10,1
20/2/2008,0,2,19,1
19/2/2008,0,2,17,1
18/2/2008,0,2,19,1
17/2/2008,0,2,17,1
16/2/2008,0,2,19,1
15/2/2008,0,2,21,1
14/2/2008,0,2,13,1
13/2/2008,0,2,18,1
12/2/2008,0,2,19,1
11/2/2008,0,2,23,1
10/2/2008,0,2,17,1
9/2/2008,0,2,19,1
8/2/2008,0,2,21,1
7/2/2008,0,2,22,1
6/2/2008,0,2,13,1
5/2/2008,0,2,14,1
4/2/2008,11,4.3,12,1
3/2/2008,12,3.3,10,1
2/2/2008,12,4.4,18,1
1/2/2008,15,0.9,15,1
31/1/2008,10,0.6,17,1
30/1/2008,10,0.8,15,1
29/1/2008,0,2,9,1
28/1/2008,0,2,16,1
27/1/2008,0,2,17,1
26/1/2008,0,2,22,1
25/1/2008,0,2,25,1
24/1/2008,0,2,16,1
23/1/2008,0,2,16,1
22/1/2008,0,2,23,1
21/1/2008,0,2,8,1
20/1/2008,0,2,8,1
19/1/2008,0,2,11,1
18/1/2008,0,2,11,1
17/1/2008,0,2,16,1
16/1/2008,0,2,19,1
15/1/2008,0,2,13,1
14/1/2008,0,2,19,1
13/1/2008,0,2,15,1
12/1/2008,0,2,16,1
11/1/2008,10,2.1,14,1
10/1/2008,10,5.1,17,1
9/1/2008,0,2,18,1
8/1/2008,11,4.6,15,1
7/1/2008,14,5.8,15,1
6/1/2008,14,7.6,18,1
5/1/2008,10,1.6,12,1
4/1/2008,12,3.4,14,1
3/1/2008,9,0.5,12,1
2/1/2008,9,0.6,20,1
1/1/2008,9,1.8,13,1
31/12/2007,0,2,15,1
30/12/2007,0,2,14,1
29/12/2007,0,2,17,1
28/12/2007,0,2,17,1
27/12/2007,0,2,13,1
26/12/2007,0,2,15,1
25/12/2007,0,2,12,1
24/12/2007,0,2,22,1
23/12/2007,0,2,14,1
22/12/2007,0,2,16,1
21/12/2007,0,2,17,1
20/12/2007,0,2,13,1
19/12/2007,0,2,16,1
18/12/2007,12,5.8,15,1
17/12/2007,19,1.4,14,1
16/12/2007,31,2,15,1
15/12/2007,38,2.8,19,1
14/12/2007,41,5.5,15,1
13/12/2007,51,6.6,12,1
12/12/2007,48,4.6,14,1
11/12/2007,41,3,16,1
10/12/2007,41,3.5,15,1
9/12/2007,45,4.5,17,1
8/12/2007,43,4.8,13,1
7/12/2007,26,1.8,15,1
6/12/2007,27,1.9,12,1
5/12/2007,14,2.2,16,1
4/12/2007,15,1.9,18,1
3/12/2007,12,1.5,15,1
2/12/2007,15,5.5,11,1
1/12/2007,17,3.1,15,1
30/11/2007,0,2,9,1
29/11/2007,0,2,8,1
28/11/2007,0,2,12,1
27/11/2007,0,2,12,1
26/11/2007,12,3.4,18,1
25/11/2007,13,5,16,1
24/11/2007,16,2.7,15,1
23/11/2007,0,2,14,1
22/11/2007,0,2,16,1
21/11/2007,0,2,19,1
20/11/2007,0,2,14,1
19/11/2007,0,2,15,1
18/11/2007,0,2,16,1
17/11/2007,15,3.8,17,1
16/11/2007,16,2.7,17,1
15/11/2007,0,2,16,1
14/11/2007,0,2,16,1
13/11/2007,0,2,15,1
12/11/2007,0,2,18,1
11/11/2007,0,2,13,1
10/11/2007,0,2,13,1
9/11/2007,0,2,18,1
8/11/2007,0,2,17,1
7/11/2007,0,2,16,1
6/11/2007,13,3.4,17,1
5/11/2007,0,2,13,1
4/11/2007,0,2,14,1
3/11/2007,0,2,14,1
2/11/2007,0,2,9,1
1/11/2007,0,2,10,1
31/10/2007,0,2,19,1
30/10/2007,0,2,16,1
29/10/2007,0,2,13,1
28/10/2007,0,2,16,1
27/10/2007,0,2,8,1
26/10/2007,0,2,6,1
25/10/2007,0,2,9,1
24/10/2007,0,2,17,1
23/10/2007,0,2,21,1
22/10/2007,0,2,19,1
21/10/2007,0,2,18,1
20/10/2007,0,2,21,1
19/10/2007,0,2,17,1
18/10/2007,0,2,25,1
17/10/2007,0,2,21,1
16/10/2007,0,2,24,1
15/10/2007,0,2,21,1
14/10/2007,0,2,17,1
13/10/2007,0,2,22,1
12/10/2007,0,2,17,1
11/10/2007,0,2,18,1
10/10/2007,0,2,19,1
9/10/2007,0,2,19,1
8/10/2007,12,8.2,18,1
7/10/2007,16,1.6,20,1
6/10/2007,19,1.7,22,1
5/10/2007,0,2,22,1
4/10/2007,0,2,21,1
3/10/2007,0,2,14,1
2/10/2007,0,2,16,1
1/10/2007,0,2,11,1
30/9/2007,15,1.8,18,1
29/9/2007,15,1.8,14,1
28/9/2007,15,2.1,20,1
27/9/2007,0,2,20,1
26/9/2007,0,2,23,1
25/9/2007,0,2,25,1
24/9/2007,0,2,21,1
23/9/2007,0,2,20,1
22/9/2007,0,2,22,1
21/9/2007,0,2,23,1
20/9/2007,0,2,24,1
19/9/2007,0,2,24,1
18/9/2007,0,2,25,1
17/9/2007,0,2,20,1
16/9/2007,0,2,24,1
15/9/2007,0,2,25,1
14/9/2007,0,2,25,1
13/9/2007,0,2,25,1
12/9/2007,0,2,26,1
11/9/2007,0,2,23,1
10/9/2007,0,2,20,1
9/9/2007,0,2,20,1
8/9/2007,0,2,18,1
7/9/2007,0,2,20,1
6/9/2007,0,2,14,1
5/9/2007,13,3.1,17,1
4/9/2007,13,3.6,21,1
3/9/2007,13,1.3,21,1
2/9/2007,13,2,18,1
1/9/2007,24,2.5,21,1
31/8/2007,28,2.8,21,1
30/8/2007,13,1.5,22,1
29/8/2007,13,0.7,22,1
28/8/2007,13,0.7,23,1
27/8/2007,13,0.6,25,1
26/8/2007,13,0.8,21,1
25/8/2007,13,0.7,23,1
24/8/2007,13,1.1,22,1
23/8/2007,13,0.8,22,1
22/8/2007,13,1.4,19,1
21/8/2007,15,4.9,20,1
20/8/2007,0,2,18,1
19/8/2007,0,2,22,1
18/8/2007,0,2,22,1
17/8/2007,0,2,23,1
16/8/2007,0,2,22,1
15/8/2007,0,2,23,1
14/8/2007,0,2,24,1
13/8/2007,13,4.1,25,1
12/8/2007,13,2.4,21,1
11/8/2007,13,1.9,18,1
10/8/2007,15,1.8,17,1
9/8/2007,15,1,18,1
8/8/2007,15,1.8,20,1
7/8/2007,13,0.8,22,1
6/8/2007,13,0.8,23,1
5/8/2007,11,1.1,21,1
4/8/2007,11,2.3,25,1
3/8/2007,11,5.8,24,1
2/8/2007,0,2,16,1
1/8/2007,0,2,25,1
31/7/2007,0,2,26,1
30/7/2007,14,2.8,21,1
29/7/2007,14,2.4,24,1
28/7/2007,14,2,23,1
27/7/2007,0,2,25,1
26/7/2007,0,2,24,1
25/7/2007,0,2,25,1
24/7/2007,0,2,26,1
23/7/2007,0,2,17,1
22/7/2007,0,2,27,1
21/7/2007,0,2,22,1
20/7/2007,0,2,24,1
19/7/2007,12,1.3,23,1
18/7/2007,14,1.2,26,1
17/7/2007,17,1.6,25,1
16/7/2007,31,3,24,1
15/7/2007,39,2.7,24,1
14/7/2007,42,1.8,22,1
13/7/2007,41,1.6,21,1
12/7/2007,23,2.3,20,1
11/7/2007,27,2,18,1
10/7/2007,27,2.6,22,1
9/7/2007,22,1.3,23,1
8/7/2007,16,0.9,22,1
7/7/2007,12,2.3,25,1
6/7/2007,14,1,24,1
5/7/2007,14,1.6,21,1
4/7/2007,14,1,19,1
3/7/2007,14,1.1,19,1
2/7/2007,17,1.3,20,1
1/7/2007,30,1.9,21,1
30/6/2007,32,2.2,19,1
29/6/2007,32,3.7,19,1
28/6/2007,16,2.5,21,1
27/6/2007,14,2.5,20,1
26/6/2007,14,1.3,21,1
25/6/2007,12,3.4,20,1
24/6/2007,0,2,17,1
23/6/2007,0,2,23,1
22/6/2007,0,2,20,1
21/6/2007,0,2,20,1
20/6/2007,0,2,22,1
19/6/2007,0,2,22,1
18/6/2007,0,2,18,1
17/6/2007,0,2,23,1
16/6/2007,0,2,19,1
15/6/2007,0,2,20,1
14/6/2007,0,2,18,1
13/6/2007,14,1.8,25,1
12/6/2007,14,1.6,21,1
11/6/2007,16,2.3,24,1
10/6/2007,16,1.8,18,1
9/6/2007,21,5.6,15,1
8/6/2007,60,6.6,21,1
7/6/2007,66,5.8,22,1
6/6/2007,58,3.4,20,1
5/6/2007,62,5.7,23,1
4/6/2007,60,6.9,22,1
3/6/2007,55,3.8,16,1
2/6/2007,44,2.8,21,1
1/6/2007,34,4.7,17,1
31/5/2007,12,5.6,22,1
30/5/2007,12,1.2,20,1
29/5/2007,12,2.2,23,1
28/5/2007,0,2,17,1
27/5/2007,0,2,20,1
26/5/2007,0,2,20,1
25/5/2007,0,2,18,1
24/5/2007,15,10.7,23,1
23/5/2007,23,2.9,25,1
22/5/2007,15,1.5,22,1
21/5/2007,18,1.6,21,1
20/5/2007,23,2.8,17,1
19/5/2007,37,3.8,19,1
18/5/2007,42,4,22,1
17/5/2007,40,2.9,18,1
16/5/2007,32,4.2,21,1
15/5/2007,30,2.2,18,1
14/5/2007,30,2.4,20,1
13/5/2007,18,0.8,19,1
12/5/2007,22,2.9,22,1
11/5/2007,23,1.5,21,1
10/5/2007,20,1.3,19,1
9/5/2007,18,2.3,16,1
8/5/2007,15,3.8,15,1
7/5/2007,13,0.8,15,1
6/5/2007,15,1,16,1
5/5/2007,17,1.1,19,1
4/5/2007,18,1.2,20,1
3/5/2007,20,2.1,25,1
2/5/2007,33,2.1,22,1
1/5/2007,33,3.2,20,1
30/4/2007,34,2.7,22,1
29/4/2007,32,3.1,19,1
28/4/2007,23,2.4,22,1
27/4/2007,18,1,22,1
26/4/2007,16,1,24,1
25/4/2007,13,1.9,20,1
24/4/2007,0,2,22,1
23/4/2007,0,2,22,1
22/4/2007,0,2,23,1
21/4/2007,0,2,22,1
20/4/2007,0,2,24,1
19/4/2007,0,2,23,1
18/4/2007,0,2,17,1
17/4/2007,11,5.6,23,1
16/4/2007,0,2,19,1
15/4/2007,0,2,23,1
14/4/2007,0,2,21,1
13/4/2007,0,2,23,1
12/4/2007,0,2,24,1
11/4/2007,0,2,22,1
10/4/2007,0,2,24,1
9/4/2007,0,2,23,1
8/4/2007,0,2,22,1
7/4/2007,0,2,21,1
6/4/2007,0,2,22,1
5/4/2007,0,2,23,1
4/4/2007,0,2,17,1
3/4/2007,0,2,20,1
2/4/2007,0,2,23,1
1/4/2007,16,6,18,1
31/3/2007,11,6.1,18,1
30/3/2007,11,2.1,18,1
29/3/2007,13,1.7,18,1
28/3/2007,13,3.8,24,1
27/3/2007,13,3.6,20,1
26/3/2007,14,1.6,26,1
25/3/2007,0,2,19,1
24/3/2007,13,3.8,11,1
23/3/2007,13,5.1,14,1
22/3/2007,0,2,18,1
21/3/2007,0,2,18,1
20/3/2007,0,2,19,1
19/3/2007,0,2,21,1
18/3/2007,0,2,18,1
17/3/2007,0,2,18,1
16/3/2007,0,2,22,1
15/3/2007,0,2,19,1
14/3/2007,0,2,26,1
13/3/2007,0,2,24,1
12/3/2007,13,2.2,26,1
11/3/2007,14,2.7,22,1
10/3/2007,0,2,21,1
9/3/2007,0,2,18,1
8/3/2007,0,2,21,1
7/3/2007,0,2,20,1
6/3/2007,22,5.5,16,1
5/3/2007,27,3.6,20,1
4/3/2007,13,1.8,20,1
3/3/2007,11,3.3,16,1
2/3/2007,11,2.3,23,1
1/3/2007,11,2.8,17,1
28/2/2007,14,1,17,1
27/2/2007,26,3.3,13,1
26/2/2007,26,2.7,13,1
25/2/2007,14,2.1,12,1
24/2/2007,14,0.9,15,1
23/2/2007,26,2.7,15,1
22/2/2007,27,5.2,18,1
21/2/2007,17,3,19,1
20/2/2007,29,5.1,15,1
19/2/2007,34,5.1,12,1
18/2/2007,14,2.7,14,1
17/2/2007,14,3.2,20,1
16/2/2007,0,2,18,1
15/2/2007,0,2,18,1
14/2/2007,0,2,10,1
13/2/2007,0,2,16,1
12/2/2007,0,2,18,1
11/2/2007,0,2,12,1
10/2/2007,12,2.2,10,1
9/2/2007,12,0.8,14,1
8/2/2007,14,1.6,12,1
7/2/2007,26,1.6,17,1
6/2/2007,26,1.7,11,1
5/2/2007,27,1.6,17,1
4/2/2007,29,2,16,1
3/2/2007,36,2,21,1
2/2/2007,41,3.4,16,1
1/2/2007,38,1.9,14,1
31/1/2007,35,2.5,19,1
30/1/2007,35,2.2,14,1
29/1/2007,31,2.8,19,1
28/1/2007,14,1.6,14,1
27/1/2007,12,0.7,22,1
26/1/2007,12,3,15,1
25/1/2007,14,2.9,15,1
24/1/2007,19,2.2,16,1
23/1/2007,17,2,15,1
22/1/2007,21,2,15,1
21/1/2007,19,2.1,18,1
20/1/2007,19,3.5,10,1
19/1/2007,24,4.2,15,1
18/1/2007,17,2.8,11,1
17/1/2007,16,3.5,15,1
16/1/2007,19,2.6,13,1
