Date,Daily Sunspot Number,Standard Deviation,Number of Observations,Indicator
1/4/2015,43,3.2,13,1
31/3/2015,38,2,18,1
30/3/2015,51,2.7,19,1
29/3/2015,72,6.8,11,1
28/3/2015,81,3.9,17,1
27/3/2015,101,7.7,26,1
26/3/2015,105,8.9,21,1
25/3/2015,99,6.7,19,1
24/3/2015,108,5.9,26,1
23/3/2015,99,8.2,30,1
22/3/2015,81,6.7,27,1
21/3/2015,26,2,9,1
20/3/2015,20,1.5,6,1
19/3/2015,49,3.3,19,1
18/3/2015,41,2.3,20,1
17/3/2015,38,3.3,22,1
16/3/2015,46,4.4,15,1
15/3/2015,53,4.5,11,1
14/3/2015,55,4.7,14,1
13/3/2015,76,5.8,35,1
12/3/2015,56,4,21,1
11/3/2015,44,3.5,21,1
10/3/2015,27,1.6,24,1
9/3/2015,23,2.1,26,1
8/3/2015,28,1.9,22,1
7/3/2015,17,1.3,19,1
6/3/2015,35,1.9,10,1
5/3/2015,26,2.5,27,1
4/3/2015,37,3.2,26,1
3/3/2015,42,1.9,22,1
2/3/2015,52,3.9,19,1
1/3/2015,65,5.4,26,1
28/2/2015,60,4.3,15,1
27/2/2015,58,4.8,11,1
26/2/2015,22,1.4,6,1
25/2/2015,21,1.7,7,1
24/2/2015,44,3.4,12,1
23/2/2015,46,3.4,14,1
22/2/2015,43,3.2,16,1
21/2/2015,58,4.8,15,1
20/2/2015,64,4.7,23,1
19/2/2015,89,8.1,30,1
18/2/2015,87,4.1,15,1
17/2/2015,39,3.3,16,1
16/2/2015,41,2.3,9,1
15/2/2015,65,5.9,25,1
14/2/2015,53,3.7,14,1
13/2/2015,62,3.6,9,1
12/2/2015,51,3.1,24,1
11/2/2015,60,5.3,24,1
10/2/2015,84,6,21,1
9/2/2015,88,4.8,11,1
8/2/2015,84,5.8,11,1
7/2/2015,76,4.9,7,1
6/2/2015,89,4.4,11,1
5/2/2015,93,7.9,19,1
4/2/2015,96,6.3,17,1
3/2/2015,89,4.9,17,1
2/2/2015,93,6.5,24,1
1/2/2015,113,7.3,19,1
31/1/2015,138,10.6,14,1
30/1/2015,153,6.9,8,1
29/1/2015,146,12.2,20,1
28/1/2015,141,6.3,9,1
27/1/2015,126,8.4,12,1
26/1/2015,109,7,16,1
25/1/2015,62,5.6,22,1
24/1/2015,59,4.4,24,1
23/1/2015,60,4.5,21,1
22/1/2015,50,2.2,8,1
21/1/2015,43,3.9,10,1
20/1/2015,56,5.2,10,1
19/1/2015,66,3.6,19,1
18/1/2015,68,4.4,4,1
17/1/2015,40,3,14,1
16/1/2015,52,4.6,21,1
15/1/2015,59,4.9,11,1
14/1/2015,80,6.1,17,1
13/1/2015,101,7.3,16,1
12/1/2015,124,12,25,1
11/1/2015,122,8,27,1
10/1/2015,106,5.4,15,1
9/1/2015,111,8.8,20,1
8/1/2015,99,5.7,17,1
7/1/2015,103,9.7,28,1
6/1/2015,89,6.9,21,1
5/1/2015,88,8.2,29,1
4/1/2015,105,9.1,27,1
3/1/2015,102,7.3,17,1
2/1/2015,122,8,31,1
1/1/2015,104,6.9,13,1
31/12/2014,88,5.9,10,1
30/12/2014,88,8.1,15,1
29/12/2014,94,3.8,16,1
28/12/2014,100,4.3,16,1
27/12/2014,91,4.7,9,1
26/12/2014,88,6.1,11,1
25/12/2014,97,5,16,1
24/12/2014,93,5.4,10,1
23/12/2014,115,5.4,11,1
22/12/2014,118,6.8,9,1
21/12/2014,137,8,13,1
20/12/2014,138,7.1,13,1
19/12/2014,175,12.6,11,1
18/12/2014,154,11.4,8,1
17/12/2014,178,8.1,9,1
16/12/2014,175,11,13,1
15/12/2014,166,9.5,11,1
14/12/2014,162,8,13,1
13/12/2014,140,17.2,6,1
12/12/2014,115,7.1,6,1
11/12/2014,104,6,9,1
10/12/2014,90,5.2,15,1
9/12/2014,69,3.5,14,1
8/12/2014,71,7.3,16,1
7/12/2014,57,4,9,1
6/12/2014,57,7.2,13,1
5/12/2014,65,4.6,9,1
4/12/2014,93,10.3,6,1
3/12/2014,115,5.9,6,1
2/12/2014,125,8.9,5,1
1/12/2014,141,3.2,3,1
30/11/2014,154,9.5,7,1
29/11/2014,157,17.1,17,1
28/11/2014,143,8.7,15,1
27/11/2014,152,12.5,10,1
26/11/2014,139,15,4,1
25/11/2014,117,6.6,11,1
24/11/2014,103,5.4,19,1
23/11/2014,78,6.5,14,1
22/11/2014,84,8.3,15,1
21/11/2014,75,9.4,14,1
20/11/2014,74,7.9,13,1
19/11/2014,65,7.6,9,1
18/11/2014,77,7.6,8,1
17/11/2014,99,6.6,13,1
16/11/2014,103,8.7,10,1
15/11/2014,111,5,13,1
14/11/2014,102,6.3,12,1
13/11/2014,112,8.3,15,1
12/11/2014,92,6.1,12,1
11/11/2014,89,6.8,17,1
10/11/2014,69,7.8,17,1
9/11/2014,75,8.5,13,1
8/11/2014,86,6.9,18,1
7/11/2014,106,8,13,1
6/11/2014,101,7.7,13,1
5/11/2014,137,11,16,1
4/11/2014,109,6.7,14,1
3/11/2014,112,6.6,15,1
2/11/2014,98,3.7,15,1
1/11/2014,90,9.3,15,1
31/10/2014,80,5.6,16,1
30/10/2014,102,8.6,19,1
29/10/2014,92,2.9,11,1
28/10/2014,101,7.1,17,1
27/10/2014,107,6.6,17,1
26/10/2014,132,10.2,12,1
25/10/2014,136,10.6,9,1
24/10/2014,138,6.7,11,1
23/10/2014,132,15.5,6,1
22/10/2014,123,8.2,11,1
21/10/2014,107,10,13,1
20/10/2014,110,7.1,17,1
19/10/2014,92,6.2,17,1
18/10/2014,61,4.3,17,1
17/10/2014,64,6.3,16,1
16/10/2014,70,9.2,15,1
15/10/2014,89,7.8,13,1
14/10/2014,74,5.9,16,1
13/10/2014,42,3.2,13,1
12/10/2014,30,2,16,1
11/10/2014,30,2.6,18,1
10/10/2014,36,2.3,20,1
9/10/2014,59,3.6,17,1
8/10/2014,74,10,11,1
7/10/2014,68,4.8,14,1
6/10/2014,68,5.5,13,1
5/10/2014,89,7.4,8,1
4/10/2014,105,5.9,13,1
3/10/2014,117,7.9,16,1
2/10/2014,126,7.4,14,1
1/10/2014,135,8,14,1
30/9/2014,178,12.9,20,1
29/9/2014,180,12.9,16,1
28/9/2014,193,14.5,14,1
27/9/2014,181,10.8,16,1
26/9/2014,165,10.7,9,1
25/9/2014,144,7.6,15,1
24/9/2014,108,6.6,13,1
23/9/2014,119,7,15,1
22/9/2014,101,5.9,15,1
21/9/2014,95,7.2,12,1
20/9/2014,80,5.8,9,1
19/9/2014,79,5.5,16,1
18/9/2014,82,5.3,13,1
17/9/2014,123,7.6,14,1
16/9/2014,114,8.8,17,1
15/9/2014,94,5.9,11,1
14/9/2014,104,7.4,11,1
13/9/2014,125,8.6,14,1
12/9/2014,126,8.6,12,1
11/9/2014,160,10.8,11,1
10/9/2014,169,9.9,14,1
9/9/2014,175,10.4,14,1
